OrderID,Product,Category,City,Sales,Quantity,Rating
1001,Pen,Stationery,Pune,50,5,4
1002,Notebook,Stationery,Mumbai,120,3,5
1003,Bottle,Accessories,Nagpur,300,2,4
1004,Pen,Stationery,Nashik,40,4,3
1005,Bag,Accessories,Pune,900,1,5
1006,Notebook,Stationery,Mumbai,150,5,4
1007,Bottle,Accessories,Pune,280,2,4
1008,Pen,Stationery,Nagpur,60,6,3
1009,Bag,Accessories,Mumbai,1000,1,5
1010,Notebook,Stationery,Nashik,130,3,4
1011,Bottle,Accessories,Mumbai,320,2,5
1012,Pen,Stationery,Pune,55,5,4
1013,Bag,Accessories,Nagpur,850,1,4
1014,Notebook,Stationery,Pune,140,4,5
1015,Pen,Stationery,Mumbai,65,6,3
