order_id,order_date,order_time,city,pizza_name,category,size,quantity,price,delivery_time,payment_mode,customer_rating,total_amount
1,1/1/2024,0:00:00,Hyderabad,Veg Extravaganza,Veg,L,4,542,37,Card,1,2168
2,1/1/2024,1:00:00,Pune,Margherita,Veg,L,3,505,32,Wallet,4,1515
3,1/1/2024,2:00:00,Bangalore,Veg Extravaganza,Veg,M,1,515,36,UPI,2,515
4,1/1/2024,3:00:00,Pune,Veg Extravaganza,Veg,S,2,439,42,UPI,4,878
5,1/1/2024,4:00:00,Pune,Veg Extravaganza,Veg,S,4,258,44,UPI,4,1032
6,1/1/2024,5:00:00,Delhi,Margherita,Veg,M,2,214,35,UPI,4,428
7,1/1/2024,6:00:00,Bangalore,Margherita,Non-Veg,L,3,484,43,UPI,2,1452
8,1/1/2024,7:00:00,Bangalore,Chicken Dominator,Veg,M,2,402,50,UPI,4,804
9,1/1/2024,8:00:00,Bangalore,Farmhouse,Veg,M,1,436,30,Card,3,436
10,1/1/2024,9:00:00,Pune,Farmhouse,Non-Veg,L,4,495,42,UPI,1,1980
11,1/1/2024,10:00:00,Hyderabad,Chicken Dominator,Veg,L,3,486,58,Card,5,1458
12,1/1/2024,11:00:00,Bangalore,Chicken Dominator,Non-Veg,S,1,272,41,UPI,4,272
13,1/1/2024,12:00:00,Chennai,Pepper Barbecue,Veg,S,4,413,52,Wallet,3,1652
14,1/1/2024,13:00:00,Pune,Veg Extravaganza,Veg,M,3,210,37,Card,3,630
15,1/1/2024,14:00:00,Delhi,Chicken Dominator,Non-Veg,M,3,536,33,Cash,1,1608
16,1/1/2024,15:00:00,Hyderabad,Peppy Paneer,Veg,L,3,424,47,Cash,1,1272
17,1/1/2024,16:00:00,Chennai,Farmhouse,Non-Veg,S,3,517,30,Cash,5,1551
18,1/1/2024,17:00:00,Chennai,Chicken Dominator,Veg,S,2,402,43,Card,5,804
19,1/1/2024,18:00:00,Delhi,Peppy Paneer,Non-Veg,L,2,430,55,UPI,5,860
20,1/1/2024,19:00:00,Hyderabad,Peppy Paneer,Non-Veg,L,2,591,38,Card,2,1182
21,1/1/2024,20:00:00,Pune,Peppy Paneer,Veg,L,3,250,32,UPI,2,750
22,1/1/2024,21:00:00,Mumbai,Pepper Barbecue,Non-Veg,M,2,256,52,UPI,3,512
23,1/1/2024,22:00:00,Hyderabad,Pepper Barbecue,Veg,M,4,331,38,UPI,1,1324
24,1/1/2024,23:00:00,Delhi,Peppy Paneer,Non-Veg,S,3,479,51,UPI,4,1437
25,1/2/2024,0:00:00,Chennai,Pepper Barbecue,Veg,S,4,496,34,UPI,1,1984
26,1/2/2024,1:00:00,Pune,Veg Extravaganza,Non-Veg,M,4,504,30,UPI,2,2016
27,1/2/2024,2:00:00,Hyderabad,Peppy Paneer,Veg,M,2,424,42,UPI,3,848
28,1/2/2024,3:00:00,Mumbai,Veg Extravaganza,Veg,S,3,373,24,UPI,4,1119
29,1/2/2024,4:00:00,Mumbai,Veg Extravaganza,Non-Veg,L,2,491,41,UPI,5,982
30,1/2/2024,5:00:00,Bangalore,Peppy Paneer,Non-Veg,S,2,465,37,Cash,5,930
31,1/2/2024,6:00:00,Bangalore,Farmhouse,Veg,L,2,446,26,UPI,2,892
32,1/2/2024,7:00:00,Delhi,Peppy Paneer,Veg,S,3,277,52,Wallet,3,831
33,1/2/2024,8:00:00,Hyderabad,Peppy Paneer,Veg,L,3,334,22,UPI,1,1002
34,1/2/2024,9:00:00,Hyderabad,Pepper Barbecue,Veg,S,2,339,47,Cash,2,678
35,1/2/2024,10:00:00,Chennai,Peppy Paneer,Veg,L,4,541,20,UPI,1,2164
36,1/2/2024,11:00:00,Chennai,Farmhouse,Non-Veg,S,4,452,56,Wallet,4,1808
37,1/2/2024,12:00:00,Chennai,Pepper Barbecue,Veg,M,3,375,41,UPI,1,1125
38,1/2/2024,13:00:00,Bangalore,Margherita,Non-Veg,L,1,259,38,Card,4,259
39,1/2/2024,14:00:00,Hyderabad,Margherita,Non-Veg,S,2,551,33,UPI,3,1102
40,1/2/2024,15:00:00,Hyderabad,Veg Extravaganza,Veg,S,2,453,22,Card,2,906
41,1/2/2024,16:00:00,Mumbai,Veg Extravaganza,Veg,L,1,207,38,UPI,1,207
42,1/2/2024,17:00:00,Bangalore,Farmhouse,Veg,L,3,590,52,Card,3,1770
43,1/2/2024,18:00:00,Pune,Chicken Dominator,Veg,S,4,306,40,Card,3,1224
44,1/2/2024,19:00:00,Bangalore,Margherita,Non-Veg,S,3,370,20,Wallet,1,1110
45,1/2/2024,20:00:00,Pune,Veg Extravaganza,Veg,S,4,257,45,Card,5,1028
46,1/2/2024,21:00:00,Mumbai,Margherita,Non-Veg,S,4,536,29,UPI,5,2144
47,1/2/2024,22:00:00,Delhi,Farmhouse,Veg,L,3,541,54,UPI,4,1623
48,1/2/2024,23:00:00,Hyderabad,Farmhouse,Veg,M,2,489,32,Card,3,978
